market,previous_close,open,volume
ACB.VN,28500.0,28200.0,7474900.0
BCM.VN,64900.0,65000.0,719500.0
BID.VN,52100.0,52200.0,1387900.0
BVH.VN,42750.0,42800.0,268000.0
CTG.VN,35550.0,35400.0,7918200.0
FPT.VN,116500.0,116000.0,3243600.0
GAS.VN,80200.0,80200.0,747700.0
GVR.VN,33150.0,33150.0,3763000.0
HDB.VN,24100.0,24100.0,6987100.0
HPG.VN,30250.0,30200.0,21419400.0
MBB.VN,25400.0,25200.0,29108200.0
MSN.VN,74200.0,74400.0,7701100.0
MWG.VN,51100.0,50800.0,15593100.0
PLX.VN,37300.0,37250.0,682100.0
POW.VN,11400.0,11400.0,5405700.0
SAB.VN,56700.0,56700.0,751000.0
SHB.VN,11400.0,11450.0,13432900.0
SSB.VN,22100.0,22100.0,1403100.0
SSI.VN,38500.0,38500.0,31123750.0
STB.VN,31600.0,31500.0,24211300.0
TCB.VN,47550.0,47550.0,9981000.0
TPB.VN,19100.0,19000.0,14517500.0
VCB.VN,94900.0,94900.0,1221000.0
VHM.VN,42850.0,42900.0,7517900.0
VIB.VN,24600.0,24400.0,8953200.0
VIC.VN,47650.0,47650.0,4451800.0
VJC.VN,103000.0,103100.0,719100.0
VNM.VN,67600.0,67600.0,5013000.0
VPB.VN,19750.0,19600.0,13901300.0
VRE.VN,25850.0,25900.0,5885800.0
